# ConstellationLines.dat: lists of BSC stars to connect in order to draw the constellations.
# Licence: Creative commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0 - https://creativecommons.org/licenses/by-sa/4.0/)
# Source and documentation: https://github.com/MarcvdSluys/ConstellationLines
# Copyright (c) 2005-2023, Marc van der Sluys - https://hemel.waarnemen.com
#   RotZ |Scl| Tx  Ty  Tz | Size |Nº| Hr de estrellas

Lep -2.3  1.5 -20    -20   0 256 0 22 1654 1702 1654 1829 1865 2035 1983 1829 1865 1702 1705 1696 1705 1702 1756 1757 1756 1702 1865 1998 2085 2155
Lib 0.3  1.5 0    0   0 256 0 9 5908 5787 5685 5531 5603 5685 5603 5794 5812
Lup 1.5  1.8 0    0   0 256 -2.3 21 5987 5948 5776 5708 5646 5649 5453 5649 5469 5436 5469 5571 5695 5776 5948 5987 5883 5948 5776 5695 5705
Lyn -0.5  1.5 100    -20  0 512 1.3 8 3705 3690 3612 3579 3275 2818 2560 2238
Lyr 2.3  1.7 0    0   0 256 0 6 7001 7056 7106 7178 7139 7056
Men 3.8  1.5 0    0   0 128 0 4 2261 1953 1629 1677
Mic -1  2.2 0    0   0 256 0 3  8135 8039 7965
Mon 2.5  1.4 -50    0   0 512 1 9 2174 2298 2714 2356 2227 2356 2714 3188 2970 
Mus 1.5  1.5 0    0   0 128 0 7 4798 4773 4923 4844 4798 4671 4520
Nor 3.5  1.5 0    0   0 128 0 7 6115 6072 6024 5962 6072 5962 6115
Oct 3.0  1.3 0    0   0 256 0 4 8630 5339 8254 8630
Oph -0.8  1.4 -40 -50   150 512 0 9 6556 6299 6149 6056 6075 6175 6378 6603 6556
Ori -1.5  1.5 -20   -40   0 512 1.3 30 1948 2004 1713 1852 1790 1879 2061 2124 2199 2159 2047 2135 2199 2124 2061 1948 1903 1852 1790 1543 1552 1567 1601 1567 1552 1543 1544 1580 1638 1676
Pav 0.4  1.8 -20    0   0 256 0 17 7790 7665 7913 8181 7790 7665 7107 6982 7590 7665 7107 7074 6855 6745 6582 6745 7074
Peg -1.2  1.7 -60    50   0 512 2.9 13 8454 8650 8775   15 8775 8781   39   15   39 8781 8634 8450 8308
Per 2.7  1.7 0    0   0 512 0 9  936  941 1017  915 1017 1122 1220 1228 1203
Phe -0.2  1.5 0    0   0 256 2.1 13   99  25 100 429 322 555 440 322 100 338 322 100  99
Pic -0.8  1.4 0    0   0 256 0.7 3 2550 2042 2020
PsA 2.4  1.6 0    0   0  256 0 11 8728 8628 8478 8386 8326 8305 8431 8576 8695 8720 8728
Psc 0  1.5 0    0   200 512 0.8 19  360  383  352  360  437  510  595  489  294  224 9072 8969 8916 8878 8852 8911 8984 9004 8969
Pup 0.5  1.2 0    0   0 256 0 8 2451 2553 2878 3165 3185 3045 2773 2451
Pyx -0.6  1.5 0    0   0 128 0 3 3438 3468 3518
Ret 0.5  3.5 0    0   0 128 0 6 1336 1355 1247 1264 1175 1336
Scl -0.6  1.2 0    0   0 256 0 4  280 8863 8937 280
Sco 2.2  1.5 0    0   0 512 -0.8 17 5985 6084 5953 6084 5944 6084 6134 6165 6241 6247 6271 6380 6553 6615 6580 6527 6508
Sct -1.5  1 0    0   0 256 0 6 7063 6973 6930 7114 7066 7063
Ser 0.5  1.2 0    0   0 256 0 5 6446 6561 6581 6869 7142
Ser 0.5  1.2 0    0   0 256 0 9 5867 5879 5933 5867 5788 5854 5892 5881 6446
Sex 0.3  1.6 0    0   0 200 0 3 4119 3981 3909
Sge 0.8  1.2 0    0   0 128 -1 6 7679 7635 7536 7479 7536 7488
Sgr -1  1.9 -20    0   0 512 -0.7 34 7348 7581 7337 7581 7623 7650 7431 7234 7121 7150 7217 7304 7340 7304 7217 7150 7121 7039 6913 6812 6913 6859 6879 6832 6879 6746 6616 6746 6859 7039 7194 6879 7194 7234
Tau -0.8  1.6 0    0   0 512 0.5 14 1910 1457 1409 1457 1346 1239 1030 1239 1346 1373 1178 1373 1409 1791
Tel 1.5  2 -20    0   0 128 0 2 6897 6905
TrA -2.5 1.2 0    -20   0 128 0 5 6217 5671 5771 5897 6217
Tri 0.5  1.2 0    0   0 128 -250 4  622  664  544  622
Tuc -2  2 0    0   0 256 0 7 8540 8502 8848 9076   77  126 8848
UMa 0.6  1.8 0    50   0 800 2.9 29 5191 5054 4905 4660 4554 4518 4377 4375 4377 4518 4335 4069 4033 4069 4335 4518 4554 4295 4301 4660 4301 3757 3323 3888 4295 3888 3775 3594 3569
UMi 0.9  1.5 50    0   0  256 -0.6 8 424 6789 6322 5903 5563 5735 6116 5903
Vel 0.5  1.2 0    0   0  256 0 11 3207 3447 3485 3734 3940 4216 4167 4023 3786 3634 3207
Vir -0.5  1.7 0    0   0 512 0 19 5487 5338 5315 5056 4963 4826 4681 4517 4681 4826 4910 4932 4910 5107 5264 5511 5264 5107 5056
Vol 3.0  1.5 0    0   0 256 0 8 2803 3223 2736 3024 3223 3347 3615 3223
Vul -3.0  4 0    0   0 128 0 3 7306 7405 7563
